Station Address,City,State/Province,Transaction Date,Transaction Start Time,   Charging Time (minutes)   , Energy (kWh) , GHG Savings (kg) , Gasoline Savings (gallons) ,Port Type
"Stationsstraat 22, 3511 EK",Utrecht,Utrecht,1/8/2018,10:29 AM,116,3.87,1.63,0.49,Level 2
"Croeselaan 14, 3511 EN",Utrecht,Utrecht,1/8/2018,11:37 AM,219,20.59,8.65,2.58,Level 2
"Stationsstraat 22, 3511 EK",Utrecht,Utrecht,1/9/2018,2:24 PM,49,0.91,0.38,0.12,Level 2
"Croeselaan 14, 3511 EN",Utrecht,Utrecht,1/9/2018,3:23 PM,55,3.32,1.4,0.42,Level 2
"Rijnkade 3, 3511 LC",Utrecht,Utrecht,1/9/2018,10:45 AM,321,33.14,13.92,4.16,Level 2
"Croeselaan 14, 3511 EN",Utrecht,Utrecht,1/9/2018,11:21 AM,119,2.8,1.18,0.35,Level 2
"Stationsstraat 22, 3511 EK",Utrecht,Utrecht,1/9/2018,11:27 AM,82,2.44,1.03,0.31,Level 2
"Abel Tasmanstraat 11, 3531 GR",Utrecht,Utrecht,1/9/2018,11:02 AM,   -     , -   , -   , -   ,Level 2
"Croeselaan 14, 3511 EN",Utrecht,Utrecht,1/9/2018,8:47 AM,58,3.19,1.34,0.4,Level 2
"Stationsstraat 22, 3511 EK",Utrecht,Utrecht,1/10/2018,9:20 AM,55,1.19,0.5,0.15,Level 2
"Spoorstraat 22, 3511 EN",Utrecht,Utrecht,1/10/2018,3:32 PM,103,10.35,4.35,1.3,Level 2
"Croeselaan 14, 3511 EN",Utrecht,Utrecht,1/10/2018,2:41 PM,121,14.46,6.07,1.82,Level 2
"Stationsstraat 22, 3511 EK",Utrecht,Utrecht,1/10/2018,1:55 PM,79,4.91,2.06,0.62,Level 2
"Croeselaan 14, 3511 EN",Utrecht,Utrecht,1/10/2018,12:58 PM,53,5.74,2.41,0.72,Level 2
"Stationsstraat 22, 3511 EK",Utrecht,Utrecht,1/10/2018,1:03 PM,15,0.66,0.28,0.08,Level 2
"Croeselaan 14, 3511 EN",Utrecht,Utrecht,1/10/2018,12:29 PM,31,3.2,1.35,0.4,Level 2
"Rijnkade 3, 3511 LC",Utrecht,Utrecht,1/10/2018,9:06 AM,130,6.53,2.74,0.82,Level 2
"Stationsstraat 22, 3511 EK",Utrecht,Utrecht,1/11/2018,8:12 AM,285,16.89,7.1,2.12,Level 2
"Croeselaan 14, 3511 EN",Utrecht,Utrecht,1/11/2018,4:44 PM,41,2.56,1.07,0.32,Level 2
"Abel Tasmanstraat 11, 3531 GR",Utrecht,Utrecht,1/11/2018,4:10 PM,64,6.45,2.71,0.81,Level 2
"Croeselaan 14, 3511 EN",Utrecht,Utrecht,1/11/2018,3:05 PM,42,2.52,1.06,0.32,Level 2
"Croeselaan 14, 3511 EN",Utrecht,Utrecht,1/11/2018,3:02 PM,   -     , -   , -   , -   ,Level 2
"Croeselaan 14, 3511 EN",Utrecht,Utrecht,1/11/2018,2:07 PM,54,6.52,2.74,0.82,Level 2
"Croeselaan 14, 3511 EN",Utrecht,Utrecht,1/11/2018,10:57 AM,105,9.44,3.96,1.18,Level 2
"Croeselaan 14, 3511 EN",Utrecht,Utrecht,1/11/2018,10:40 AM,60,4.48,1.88,0.56,Level 2
"Croeselaan 14, 3511 EN",Utrecht,Utrecht,1/11/2018,8:13 AM,106,11.52,4.84,1.45,Level 2
"Stationsstraat 22, 3511 EK",Utrecht,Utrecht,1/12/2018,1:41 PM,137,7.95,3.34,1,Level 2
"Rijnkade 3, 3511 LC",Utrecht,Utrecht,1/12/2018,2:21 PM,95,9.72,4.08,1.22,Level 2
"Croeselaan 14, 3511 EN",Utrecht,Utrecht,1/12/2018,1:12 PM,100,4.23,1.78,0.53,Level 2
"Spoorstraat 22, 3511 EN",Utrecht,Utrecht,1/12/2018,9:24 AM,239,19.1,8.02,2.4,Level 2
"Croeselaan 14, 3511 EN",Utrecht,Utrecht,1/12/2018,12:06 PM,49,4.53,1.9,0.57,Level 2
"Stationsstraat 22, 3511 EK",Utrecht,Utrecht,1/12/2018,12:30 PM,19,1.21,0.51,0.15,Level 2
"Croeselaan 14, 3511 EN",Utrecht,Utrecht,1/12/2018,11:45 AM,   -     , -   , -   , -   ,Level 2
"Croeselaan 14, 3511 EN",Utrecht,Utrecht,1/12/2018,11:30 AM,15,1.58,0.67,0.2,Level 2
"Croeselaan 14, 3511 EN",Utrecht,Utrecht,1/12/2018,8:54 AM,88,6.71,2.82,0.84,Level 2
"Croeselaan 14, 3511 EN",Utrecht,Utrecht,1/13/2018,3:50 PM,60,3.58,1.5,0.45,Level 2
"Abel Tasmanstraat 11, 3531 GR",Utrecht,Utrecht,1/13/2018,12:06 PM,2,0.07,0.03,0.01,Level 2
"Croeselaan 14, 3511 EN",Utrecht,Utrecht,1/13/2018,9:25 AM,118,12.81,5.38,1.61,Level 2
"Croeselaan 14, 3511 EN",Utrecht,Utrecht,1/13/2018,6:24 AM,110,12.06,5.07,1.51,Level 2
"Spoorstraat 22, 3511 EN",Utrecht,Utrecht,1/14/2018,5:51 PM,   -     , -   , -   , -   ,Level 2
"Croeselaan 14, 3511 EN",Utrecht,Utrecht,1/14/2018,2:25 PM,68,8.03,3.37,1.01,Level 2
"Croeselaan 14, 3511 EN",Utrecht,Utrecht,1/14/2018,1:25 PM,35,3.74,1.57,0.47,Level 2
"Croeselaan 14, 3511 EN",Utrecht,Utrecht,1/14/2018,10:00 AM,82,2.03,0.85,0.26,Level 2
"Valeriusbaan, 3521 AB",Utrecht,Utrecht,1/15/2018,9:05 AM,108,4.1,1.72,0.51,Level 2
"Stationsstraat 22, 3511 EK",Utrecht,Utrecht,1/16/2018,7:41 AM,308,17.03,7.15,2.14,Level 2
"Leidsekade 19, 3531 BN",Utrecht,Utrecht,1/16/2018,8:32 AM,108,10.59,4.45,1.33,Level 2
"Croeselaan 14, 3511 EN",Utrecht,Utrecht,1/16/2018,2:41 PM,56,5.82,2.45,0.73,Level 2
"Spoorstraat 22, 3511 EN",Utrecht,Utrecht,1/16/2018,10:57 AM,116,11.75,4.94,1.48,Level 2
"Croeselaan 14, 3511 EN",Utrecht,Utrecht,1/16/2018,8:45 AM,218,20.4,8.57,2.56,Level 2
"Spoorstraat 22, 3511 EN",Utrecht,Utrecht,1/16/2018,6:57 AM,47,4.71,1.98,0.59,Level 2
"Stationsstraat 22, 3511 EK",Utrecht,Utrecht,1/17/2018,12:15 PM,191,7.72,3.24,0.97,Level 2
"Sterrenbos 10, 3511 ES",Utrecht,Utrecht,1/17/2018,5:20 PM,135,13.13,5.51,1.65,Level 2
"Sterrenbos 10, 3511 ES",Utrecht,Utrecht,1/17/2018,5:17 PM,   -     , -   , -   , -   ,Level 2
"Croeselaan 14, 3511 EN",Utrecht,Utrecht,1/17/2018,4:44 PM,30,0.78,0.33,0.1,Level 2
"Croeselaan 14, 3511 EN",Utrecht,Utrecht,1/17/2018,3:20 PM,49,2.94,1.23,0.37,Level 2
"Leidsekade 19, 3531 BN",Utrecht,Utrecht,1/17/2018,8:30 AM,125,12.12,5.09,1.52,Level 2
"Croeselaan 14, 3511 EN",Utrecht,Utrecht,1/17/2018,11:44 AM,   -     , -   , -   , -   ,Level 2
"Rijnkade 3, 3511 LC",Utrecht,Utrecht,1/17/2018,9:02 AM,139,8.17,3.43,1.03,Level 2
"Stationsstraat 22, 3511 EK",Utrecht,Utrecht,1/18/2018,10:27 AM,83,2.02,0.85,0.25,Level 2
"Spoorstraat 22, 3511 EN",Utrecht,Utrecht,1/18/2018,7:05 PM,239,15.46,6.49,1.94,Level 2
"Croeselaan 14, 3511 EN",Utrecht,Utrecht,1/18/2018,3:28 PM,73,4.39,1.85,0.55,Level 2
"Sterrenbos 10, 3511 ES",Utrecht,Utrecht,1/18/2018,2:45 PM,31,3.01,1.27,0.38,Level 2
"Wolfstraat 11, 3513 SW",Utrecht,Utrecht,1/18/2018,2:18 PM,33,3.35,1.41,0.42,Level 2
"Valeriusbaan, 3521 AB",Utrecht,Utrecht,1/18/2018,1:18 PM,57,3.03,1.27,0.38,Level 2
"Wolfstraat 11, 3513 SW",Utrecht,Utrecht,1/18/2018,1:37 PM,31,2.84,1.19,0.36,Level 2
"Valeriusbaan, 3521 AB",Utrecht,Utrecht,1/18/2018,2:15 PM,   -     , -   , -   , -   ,Level 2
"Croeselaan 14, 3511 EN",Utrecht,Utrecht,1/18/2018,1:01 PM,31,3.37,1.42,0.42,Level 2
"Croeselaan 14, 3511 EN",Utrecht,Utrecht,1/18/2018,10:28 AM,120,5.99,2.52,0.75,Level 2
"Sterrenbos 10, 3511 ES",Utrecht,Utrecht,1/18/2018,8:37 AM,80,8.14,3.42,1.02,Level 2
"Stationsstraat 22, 3511 EK",Utrecht,Utrecht,1/19/2018,1:58 PM,49,2.67,1.12,0.34,Level 2
"Stationsstraat 22, 3511 EK",Utrecht,Utrecht,1/19/2018,10:48 AM,68,1.69,0.71,0.21,Level 2
"Valeriusbaan, 3521 AB",Utrecht,Utrecht,1/19/2018,5:43 PM,99,8.92,3.74,1.12,Level 2
"Croeselaan 14, 3511 EN",Utrecht,Utrecht,1/19/2018,4:26 PM,55,5.94,2.49,0.75,Level 2
"Croeselaan 14, 3511 EN",Utrecht,Utrecht,1/19/2018,1:55 PM,41,4.45,1.87,0.56,Level 2
"Stationsstraat 22, 3511 EK",Utrecht,Utrecht,1/19/2018,12:32 PM,42,2.58,1.09,0.32,Level 2
"Croeselaan 14, 3511 EN",Utrecht,Utrecht,1/19/2018,10:59 AM,79,8.67,3.64,1.09,Level 2
"Spoorstraat 22, 3511 EN",Utrecht,Utrecht,1/20/2018,8:21 PM,189,8.74,3.67,1.1,Level 2
"Sterrenbos 10, 3511 ES",Utrecht,Utrecht,1/20/2018,2:54 PM,58,3.02,1.27,0.38,Level 2
"Croeselaan 14, 3511 EN",Utrecht,Utrecht,1/20/2018,11:42 AM,142,8.79,3.69,1.1,Level 2
"Croeselaan 14, 3511 EN",Utrecht,Utrecht,1/20/2018,1:55 PM,   -     , -   , -   , -   ,Level 2
"Spoorstraat 22, 3511 EN",Utrecht,Utrecht,1/20/2018,11:51 AM,63,4.94,2.08,0.62,Level 2
"Croeselaan 14, 3511 EN",Utrecht,Utrecht,1/20/2018,7:29 AM,113,4.61,1.94,0.58,Level 2
"Spoorstraat 22, 3511 EN",Utrecht,Utrecht,1/21/2018,5:27 PM,293,19.98,8.39,2.51,Level 2
"Sterrenbos 10, 3511 ES",Utrecht,Utrecht,1/21/2018,2:19 PM,113,11.34,4.76,1.42,Level 2
"Stationsstraat 22, 3511 EK",Utrecht,Utrecht,1/22/2018,11:22 AM,134,4.79,2.01,0.6,Level 2
"Stationsstraat 22, 3511 EK",Utrecht,Utrecht,1/22/2018,3:23 PM,204,9.68,4.07,1.22,Level 2
"Abel Tasmanstraat 11, 3531 GR",Utrecht,Utrecht,1/22/2018,10:04 AM,127,6.62,2.78,0.83,Level 2
"Abel Tasmanstraat 11, 3531 GR",Utrecht,Utrecht,1/22/2018,4:01 PM,2,0.12,0.05,0.02,Level 2
"Rijnkade 3, 3511 LC",Utrecht,Utrecht,1/22/2018,2:00 PM,79,4.78,2.01,0.6,Level 2
"Stationsstraat 22, 3511 EK",Utrecht,Utrecht,1/22/2018,12:53 PM,113,6.9,2.9,0.87,Level 2
"Spoorstraat 22, 3511 EN",Utrecht,Utrecht,1/23/2018,8:48 PM,193,11.41,4.79,1.43,Level 2
"Croeselaan 14, 3511 EN",Utrecht,Utrecht,1/23/2018,5:20 PM,216,24.89,10.45,3.12,Level 2
"Sterrenbos 10, 3511 ES",Utrecht,Utrecht,1/23/2018,5:58 PM,74,7.22,3.03,0.91,Level 2
"Spoorstraat 22, 3511 EN",Utrecht,Utrecht,1/23/2018,5:51 PM,78,7.71,3.24,0.97,Level 2
"Spoorstraat 22, 3511 EN",Utrecht,Utrecht,1/23/2018,5:34 PM,84,8.47,3.56,1.06,Level 2
"Stationsstraat 22, 3511 EK",Utrecht,Utrecht,1/23/2018,12:40 PM,96,5.73,2.41,0.72,Level 2
"Spoorstraat 22, 3511 EN",Utrecht,Utrecht,1/23/2018,2:06 PM,59,3.13,1.32,0.39,Level 2
"Valeriusbaan, 3521 AB",Utrecht,Utrecht,1/23/2018,1:24 PM,55,2.88,1.21,0.36,Level 2
"Abel Tasmanstraat 11, 3531 GR",Utrecht,Utrecht,1/23/2018,8:08 AM,292,18.71,7.86,2.35,Level 2
"Abel Tasmanstraat 11, 3531 GR",Utrecht,Utrecht,1/23/2018,11:25 AM,34,2.17,0.91,0.27,Level 2
"Croeselaan 14, 3511 EN",Utrecht,Utrecht,1/23/2018,8:46 AM,   -     , -   , -   , -   ,Level 2
"Stationsstraat 22, 3511 EK",Utrecht,Utrecht,1/24/2018,1:30 PM,167,6.83,2.87,0.86,Level 2
"Stationsstraat 22, 3511 EK",Utrecht,Utrecht,1/24/2018,12:46 PM,307,18.67,7.84,2.34,Level 2
"Spoorstraat 22, 3511 EN",Utrecht,Utrecht,1/24/2018,9:00 PM,241,17.05,7.16,2.14,Level 2
"Rijnkade 3, 3511 LC",Utrecht,Utrecht,1/24/2018,10:44 AM,494,50.73,21.31,6.37,Level 2
"Rijnkade 3, 3511 LC",Utrecht,Utrecht,1/24/2018,9:05 AM,132,7.65,3.21,0.96,Level 2
"Abel Tasmanstraat 11, 3531 GR",Utrecht,Utrecht,1/24/2018,5:02 PM,31,1.89,0.79,0.24,Level 2
"Croeselaan 14, 3511 EN",Utrecht,Utrecht,1/24/2018,11:35 AM,95,10.31,4.33,1.29,Level 2
"Sterrenbos 10, 3511 ES",Utrecht,Utrecht,1/24/2018,12:19 PM,41,2.13,0.89,0.27,Level 2
"Spoorstraat 22, 3511 EN",Utrecht,Utrecht,1/24/2018,10:01 AM,160,11.02,4.63,1.38,Level 2
"Stationsstraat 22, 3511 EK",Utrecht,Utrecht,1/24/2018,10:52 AM,26,1.64,0.69,0.21,Level 2
"Stationsstraat 22, 3511 EK",Utrecht,Utrecht,1/25/2018,1:47 PM,76,4.45,1.87,0.56,Level 2
"Valeriusbaan, 3521 AB",Utrecht,Utrecht,1/25/2018,7:09 PM,98,9.85,4.14,1.24,Level 2
"Sterrenbos 10, 3511 ES",Utrecht,Utrecht,1/25/2018,6:59 PM,31,3.09,1.3,0.39,Level 2
"Croeselaan 14, 3511 EN",Utrecht,Utrecht,1/25/2018,6:04 PM,82,8.87,3.73,1.11,Level 2
"Croeselaan 14, 3511 EN",Utrecht,Utrecht,1/25/2018,5:30 PM,19,2.04,0.86,0.26,Level 2
"Croeselaan 14, 3511 EN",Utrecht,Utrecht,1/25/2018,4:34 PM,49,2.96,1.24,0.37,Level 2
"Valeriusbaan, 3521 AB",Utrecht,Utrecht,1/25/2018,6:58 PM,   -     , -   , -   , -   ,Level 2
"Valeriusbaan, 3521 AB",Utrecht,Utrecht,1/25/2018,2:46 PM,36,1.94,0.82,0.24,Level 2
"Sterrenbos 10, 3511 ES",Utrecht,Utrecht,1/25/2018,2:16 PM,36,3.48,1.46,0.44,Level 2
"Stationsstraat 22, 3511 EK",Utrecht,Utrecht,1/25/2018,12:47 PM,17,1.07,0.45,0.13,Level 2
"Wolfstraat 11, 3513 SW",Utrecht,Utrecht,1/25/2018,10:38 AM,56,5.66,2.38,0.71,Level 2
"Croeselaan 14, 3511 EN",Utrecht,Utrecht,1/25/2018,10:45 AM,21,2.28,0.96,0.29,Level 2
"Valeriusbaan 12, 3521 AB",Utrecht,Utrecht,1/25/2018,10:33 AM,1,0.06,0.03,0.01,Level 2
"Graadt van Roggenweg 302, 3531 AH",Utrecht,Utrecht,1/25/2018,10:24 AM,1,0.07,0.03,0.01,Level 2
"Graadt van Roggenweg 302, 3531 AH",Utrecht,Utrecht,1/25/2018,10:21 AM,2,0.17,0.07,0.02,Level 2
"Daalsesingel 30, 3511 SV",Utrecht,Utrecht,1/25/2018,10:14 AM,2,0.17,0.07,0.02,Level 2
"Wolfstraat 11, 3513 SW",Utrecht,Utrecht,1/25/2018,10:01 AM,5,0.53,0.22,0.07,Level 2
"Wolfstraat 11, 3513 SW",Utrecht,Utrecht,1/25/2018,9:50 AM,8,0.79,0.33,0.1,Level 2
"Stationsstraat 22, 3511 EK",Utrecht,Utrecht,1/26/2018,5:10 PM,20,0.87,0.37,0.11,Level 2
"Croeselaan 14, 3511 EN",Utrecht,Utrecht,1/26/2018,5:46 PM,58,6.39,2.68,0.8,Level 2
"Stationsstraat 22, 3511 EK",Utrecht,Utrecht,1/26/2018,2:07 PM,97,5.54,2.33,0.7,Level 2
"Abel Tasmanstraat 11, 3531 GR",Utrecht,Utrecht,1/26/2018,2:55 PM,98,7.86,3.3,0.99,Level 2
"Sterrenbos 10, 3511 ES",Utrecht,Utrecht,1/26/2018,3:12 PM,11,1.14,0.48,0.14,Level 2
"Spoorstraat 22, 3511 EN",Utrecht,Utrecht,1/26/2018,11:50 AM,185,15.98,6.71,2.01,Level 2
"Graadt van Roggenweg 302, 3531 AH",Utrecht,Utrecht,1/26/2018,11:17 AM,  -    ,0.03,0.01,0,Level 2
"Stationsstraat 22, 3511 EK",Utrecht,Utrecht,1/26/2018,12:36 PM,28,1.74,0.73,0.22,Level 2
"Croeselaan 14, 3511 EN",Utrecht,Utrecht,1/26/2018,12:07 PM,21,2.34,0.98,0.29,Level 2
"Graadt van Roggenweg 302, 3531 AH",Utrecht,Utrecht,1/26/2018,8:22 AM,84,8.16,3.43,1.02,Level 2
"Croeselaan 14, 3511 EN",Utrecht,Utrecht,1/26/2018,9:25 AM,8,0.83,0.35,0.1,Level 2
"Valeriusbaan 12, 3521 AB",Utrecht,Utrecht,1/26/2018,7:38 AM,56,3.17,1.33,0.4,Level 2
"Valeriusbaan, 3521 AB",Utrecht,Utrecht,1/26/2018,6:20 AM,61,6.09,2.56,0.76,Level 2
"Croeselaan 14, 3511 EN",Utrecht,Utrecht,1/26/2018,7:35 AM,75,7.35,3.09,0.92,Level 2
"Wolfstraat 11, 3513 SW",Utrecht,Utrecht,1/27/2018,8:02 PM,101,7.38,3.1,0.93,Level 2
"Rijnkade 3, 3511 LC",Utrecht,Utrecht,1/27/2018,9:03 PM,14,1.37,0.58,0.17,Level 2
"Rijnkade 3, 3511 LC",Utrecht,Utrecht,1/27/2018,4:59 PM,79,8.1,3.4,1.02,Level 2
"Croeselaan 14, 3511 EN",Utrecht,Utrecht,1/27/2018,5:40 PM,20,1.06,0.45,0.13,Level 2
"Abel Tasmanstraat 11, 3531 GR",Utrecht,Utrecht,1/27/2018,3:52 PM,28,1.67,0.7,0.21,Level 2
"Croeselaan 14, 3511 EN",Utrecht,Utrecht,1/27/2018,2:28 PM,75,4.51,1.89,0.57,Level 2
"Sterrenbos 10, 3511 ES",Utrecht,Utrecht,1/27/2018,1:06 PM,79,4.18,1.76,0.53,Level 2
"Croeselaan 14, 3511 EN",Utrecht,Utrecht,1/27/2018,10:02 AM,155,13.95,5.86,1.75,Level 2
"Croeselaan 14, 3511 EN",Utrecht,Utrecht,1/27/2018,10:44 AM,43,2.59,1.09,0.33,Level 2
"Wolfstraat 11, 3513 SW",Utrecht,Utrecht,1/27/2018,8:56 AM,   -     , -   , -   , -   ,Level 2
"Graadt van Roggenweg 302, 3531 AH",Utrecht,Utrecht,1/28/2018,4:59 PM,95,4.62,1.94,0.58,Level 2
"Croeselaan 14, 3511 EN",Utrecht,Utrecht,1/28/2018,3:06 PM,66,7.59,3.19,0.95,Level 2
"Sterrenbos 10, 3511 ES",Utrecht,Utrecht,1/28/2018,1:26 PM,55,5.4,2.27,0.68,Level 2
"Croeselaan 14, 3511 EN",Utrecht,Utrecht,1/28/2018,10:03 AM,77,8.84,3.71,1.11,Level 2
"Sterrenbos 10, 3511 ES",Utrecht,Utrecht,1/28/2018,8:08 AM,113,11.55,4.85,1.45,Level 2
"Croeselaan 14, 3511 EN",Utrecht,Utrecht,1/28/2018,7:38 AM,43,4.63,1.94,0.58,Level 2
"Stationsstraat 22, 3511 EK",Utrecht,Utrecht,1/29/2018,3:29 PM,19,0.9,0.38,0.11,Level 2
"Rijnkade 3, 3511 LC",Utrecht,Utrecht,1/29/2018,2:14 PM,56,3.43,1.44,0.43,Level 2
"Stationsstraat 22, 3511 EK",Utrecht,Utrecht,1/29/2018,1:48 PM,79,4.53,1.9,0.57,Level 2
"Croeselaan 14, 3511 EN",Utrecht,Utrecht,1/29/2018,9:29 AM,238,27.35,11.49,3.43,Level 2
"Stationsstraat 22, 3511 EK",Utrecht,Utrecht,1/29/2018,12:44 PM,26,1.61,0.68,0.2,Level 2
"Abel Tasmanstraat 11, 3531 GR",Utrecht,Utrecht,1/29/2018,11:27 AM,15,0.79,0.33,0.1,Level 2
"Croeselaan 14, 3511 EN",Utrecht,Utrecht,1/29/2018,5:54 AM,60,6.59,2.77,0.83,Level 2
"Stationsstraat 22, 3511 EK",Utrecht,Utrecht,1/30/2018,9:02 AM,21,0.86,0.36,0.11,Level 2
"Croeselaan 14, 3511 EN",Utrecht,Utrecht,1/30/2018,5:48 PM,52,1.3,0.54,0.16,Level 2
"Valeriusbaan, 3521 AB",Utrecht,Utrecht,1/30/2018,4:14 PM,58,5.63,2.37,0.71,Level 2
"Croeselaan 14, 3511 EN",Utrecht,Utrecht,1/30/2018,2:46 PM,42,3.33,1.4,0.42,Level 2
"Sterrenbos 10, 3511 ES",Utrecht,Utrecht,1/30/2018,1:53 PM,72,3.8,1.6,0.48,Level 2
"Valeriusbaan, 3521 AB",Utrecht,Utrecht,1/30/2018,12:48 PM,   -     , -   , -   , -   ,Level 2
"Croeselaan 14, 3511 EN",Utrecht,Utrecht,1/30/2018,10:41 AM,115,5.89,2.47,0.74,Level 2
"Valeriusbaan, 3521 AB",Utrecht,Utrecht,1/30/2018,6:22 AM,67,5.43,2.28,0.68,Level 2
"Croeselaan 14, 3511 EN",Utrecht,Utrecht,1/30/2018,6:12 AM,56,6.11,2.57,0.77,Level 2
"Graadt van Roggenweg 302, 3531 AH",Utrecht,Utrecht,1/31/2018,10:12 PM,120,7.4,3.11,0.93,Level 2
"Daalsesingel 30, 3511 SV",Utrecht,Utrecht,1/31/2018,5:43 PM,128,2.84,1.19,0.36,Level 2
"Graadt van Roggenweg 302, 3531 AH",Utrecht,Utrecht,1/31/2018,5:16 PM,68,5.66,2.38,0.71,Level 2
"Valeriusbaan, 3521 AB",Utrecht,Utrecht,1/31/2018,1:52 PM,73,3.94,1.65,0.49,Level 2
"Wolfstraat 11, 3513 SW",Utrecht,Utrecht,1/31/2018,2:47 PM,   -     , -   , -   , -   ,Level 2
"Croeselaan 14, 3511 EN",Utrecht,Utrecht,1/31/2018,1:54 PM,40,4.42,1.86,0.55,Level 2
"Croeselaan 14, 3511 EN",Utrecht,Utrecht,1/31/2018,11:51 AM,42,4.6,1.93,0.58,Level 2
"Abel Tasmanstraat 11, 3531 GR",Utrecht,Utrecht,1/31/2018,8:45 AM,139,7.67,3.22,0.96,Level 2
"Rijnkade 3, 3511 LC",Utrecht,Utrecht,1/31/2018,9:10 AM,110,6.64,2.79,0.83,Level 2
"Croeselaan 14, 3511 EN",Utrecht,Utrecht,1/31/2018,6:19 AM,22,2.32,0.98,0.29,Level 2
"Daalsesingel 30, 3511 SV",Utrecht,Utrecht,2/1/2018,8:07 PM,68,4.06,1.7,0.51,Level 2
"Abel Tasmanstraat 11, 3531 GR",Utrecht,Utrecht,2/1/2018,5:12 PM,205,15,6.3,1.88,Level 2
"Graadt van Roggenweg 302, 3531 AH",Utrecht,Utrecht,2/1/2018,5:37 PM,133,12.93,5.43,1.62,Level 2
"Graadt van Roggenweg 302, 3531 AH",Utrecht,Utrecht,2/1/2018,5:29 PM,123,11.99,5.04,1.51,Level 2
"Croeselaan 14, 3511 EN",Utrecht,Utrecht,2/1/2018,11:33 AM,254,28.96,12.16,3.64,Level 2
"Daalsesingel 30, 3511 SV",Utrecht,Utrecht,2/1/2018,11:20 AM,163,7.19,3.02,0.9,Level 2
"Valeriusbaan 12, 3521 AB",Utrecht,Utrecht,2/1/2018,11:14 AM,46,4.82,2.02,0.61,Level 2
"Graadt van Roggenweg 302, 3531 AH",Utrecht,Utrecht,2/1/2018,8:23 AM,121,12.09,5.08,1.52,Level 2
"Graadt van Roggenweg 302, 3531 AH",Utrecht,Utrecht,2/1/2018,7:43 AM,79,7.66,3.22,0.96,Level 2
"Stationsstraat 22, 3511 EK",Utrecht,Utrecht,2/2/2018,2:02 PM,98,5.86,2.46,0.74,Level 2
